"","technology","no.coders","application","audience","engagement_feedback","engagement_others","extend_data","improve_curation","improve_flow","improve_quality","new_data"
"1","3D technology to improve CS experience",6,2,3,3.16666666666667,2.5,3,1.16666666666667,1.66666666666667,2.83333333333333,3
"2","AI analysis on sensors",9,3.22222222222222,2.66666666666667,3.22222222222222,2.44444444444444,4,2.22222222222222,4.55555555555556,4.22222222222222,4.44444444444444
"3","Acoustic analysis",11,4.09090909090909,3.90909090909091,3.72727272727273,2.81818181818182,3.63636363636364,2.36363636363636,3.09090909090909,3.81818181818182,3.90909090909091
"4","Acoustic hardware",9,3.11111111111111,4,2.88888888888889,2.44444444444444,4.55555555555556,2.88888888888889,3.66666666666667,4.44444444444444,4.11111111111111
"5","Adaptive sampling",8,1.75,2.625,3.5,2.625,4.25,3.125,3.25,3.875,3.375
"6","Advanced natural language generation",12,3.25,3.66666666666667,4,2.5,2.91666666666667,3.08333333333333,2.83333333333333,3.58333333333333,2.83333333333333
"7","Artificial intelligence",14,4.57142857142857,4,4.14285714285714,2.78571428571429,3.64285714285714,3.42857142857143,3.71428571428571,4.57142857142857,4.21428571428571
"8","Augmented reality",13,3.61538461538462,4.61538461538461,3.92307692307692,3.61538461538462,3.23076923076923,2.76923076923077,3,3.30769230769231,3
"9","Chatbot",8,4.375,3.875,4.5,2.75,3.5,3,3.75,3.5,3.125
"10","Collective intelligence",8,3.625,3.5,3.625,3.75,4.125,4.25,4.125,4.625,3.625
"11","Computational infrastructure to handle big volumes of data",11,2.63636363636364,2.36363636363636,3.90909090909091,2.36363636363636,3.63636363636364,4.81818181818182,4.72727272727273,3.54545454545455,3.45454545454545
"12","DNA-based technologies",13,2.69230769230769,3.23076923076923,3.07692307692308,2.92307692307692,4.92307692307692,3.23076923076923,3.38461538461538,4.76923076923077,4.92307692307692
"13","Data aggregation software and visualisation and analysis tools",8,3.5,4,4.125,3.25,3.625,4,3.75,4,3.125
"14","Data analysis to reveal early signals of invasion",15,2.86666666666667,2.13333333333333,2.93333333333333,2,4.2,3,3.53333333333333,3.8,4.4
"15","Data exchange tools",8,3.5,3.5,3.25,3.5,2.75,4.375,4.625,3,2.375
"16","Digital twins",13,3.38461538461538,2.84615384615385,3.53846153846154,2.61538461538462,3.23076923076923,2.84615384615385,3.30769230769231,3.23076923076923,3.69230769230769
"17","Drones",15,2.73333333333333,3.73333333333333,2.4,3,4.8,2.6,3.46666666666667,3.8,4.6
"18","Ecological interaction approaches",11,3.18181818181818,3.54545454545455,3.36363636363636,3.27272727272727,4.54545454545455,3.45454545454545,3.45454545454545,4.27272727272727,4.09090909090909
"19","GPS tracking devices",15,3.6,3,3,2.13333333333333,4.4,3.4,3.46666666666667,4,4.26666666666667
"20","Gamification",14,4.42857142857143,4.71428571428571,4.35714285714286,4.28571428571429,3.57142857142857,1.92857142857143,3,2.71428571428571,3.07142857142857
"21","Google Street view",10,3.6,3,2.6,2.3,4.3,2.5,3,3.4,3.8
"22","Image analysis satellites",9,2.33333333333333,2.77777777777778,2.44444444444444,2.55555555555556,4.55555555555556,3.44444444444444,3.66666666666667,4,4.22222222222222
"23","Internet of things",14,4.42857142857143,4.07142857142857,2.64285714285714,3.07142857142857,4.21428571428571,3.28571428571429,4.5,3.14285714285714,4.07142857142857
"24","Low earth orbit ultrafast broadband",8,4.375,4.375,3.25,3.25,4.875,2.625,4.625,3.875,4
"25","Machine learning",9,4.44444444444444,3.77777777777778,4.55555555555556,2.88888888888889,4.33333333333333,3.66666666666667,3.88888888888889,3.88888888888889,4.44444444444444
"26","Mobile-based data collection platforms",11,4.63636363636364,4.63636363636364,4.09090909090909,3.81818181818182,4.54545454545455,4.27272727272727,4.54545454545455,4.18181818181818,3.90909090909091
"27","Neural marketing",9,3.11111111111111,3.22222222222222,3.11111111111111,2.77777777777778,2.88888888888889,1.55555555555556,2.44444444444444,2.22222222222222,3.33333333333333
"28","Open data and open source",8,3.375,3.75,3.5,3.875,3.375,4.625,4.375,4.125,2.625
"29","Open source hardware",10,3.9,4.2,3.7,3.9,4,3.5,3.6,3.9,3.9
"30","Push Notifications",9,4,3.44444444444444,4.44444444444444,3.66666666666667,3,1.88888888888889,3.55555555555556,2.77777777777778,2.77777777777778
"31","Robots",8,2.875,3.25,2.375,2.75,3.375,2,2.375,2.125,3.75
"32","Social media have",9,4.66666666666667,5,4.77777777777778,5,4.33333333333333,2.77777777777778,4.33333333333333,3.11111111111111,4.22222222222222
"33","Social media mining has",9,4.66666666666667,3.55555555555556,3.33333333333333,3.11111111111111,4.33333333333333,2.55555555555556,4.44444444444444,3.55555555555556,4.66666666666667
"34","Technologies to increase data quality and reduce uncertainty",9,3.66666666666667,2.22222222222222,4,2.22222222222222,3.44444444444444,4.77777777777778,4.66666666666667,5,3.55555555555556
"35","Tools for sensory impaired citizen scientists",11,4.18181818181818,4.81818181818182,3.72727272727273,4.36363636363636,3.45454545454545,2.18181818181818,2.63636363636364,2.27272727272727,3
"36","Virtual reality",8,3.75,4.375,4.5,4.5,3,2.25,2.625,3.375,3.375
"37","Visual storytelling",10,3.3,4.6,3.8,4.1,3.1,2.1,2.9,2.6,2.5
"38","Wildlife cameras",15,3,3.86666666666667,3.6,3.06666666666667,4.73333333333333,2.93333333333333,3.86666666666667,4,4.73333333333333
"39","eNose technology",12,2.08333333333333,2.58333333333333,2.25,2.08333333333333,3.33333333333333,1.5,2.41666666666667,2.91666666666667,4.16666666666667
